"placename","feat","pine","bd","sm","open","pp_nothin","pp_har","tsf_summer_500m_scaled","tsf_fall_500m_scaled","tsf_winter_500m_scaled","tsf_spring_500m_scaled","unq_summer_500m_scaled","unq_fall_500m_scaled","unq_winter_500m_scaled","unq_spring_500m_scaled","Smammal_summer_rate_scaled","Smammal_fall_rate_scaled","Smammal_winter_rate_scaled","Smammal_spring_rate_scaled","Turkey_summer_rate_scaled","Turkey_fall_rate_scaled","Turkey_winter_rate_scaled","Turkey_spring_rate_scaled","Wild_Pig_summer_rate_scaled","Wild_Pig_fall_rate_scaled","Wild_Pig_winter_rate_scaled","Wild_Pig_spring_rate_scaled","White_tailed_Deer_summer_rate_scaled","White_tailed_Deer_fall_rate_scaled","White_tailed_Deer_winter_rate_scaled","White_tailed_Deer_spring_rate_scaled","Deer_fawn_summer_rate_scaled","Deer_fawn_spring_rate_scaled"
"Camera 1","field",-0.147861384511516,-0.782231236748798,3.40302032846907,-0.859597487555211,-0.648263307143509,3.11767444562238,-0.3647894143751,-0.367549938528189,-0.370231785374352,0.0839811156669424,-1.23428198252421,-1.23428198252421,-1.23428198252421,-1.35559559058167,0.147263514984542,-0.0152795480259878,-0.140362070349239,-0.375872142302272,-0.398211340264643,-0.313247839856111,-0.437643613107487,-0.401776015964182,0.00763857531662499,2.31953394563147,4.16170710832315,-0.0418377000131424,-0.553632792584755,0.627144679717972,-0.733299214485579,-0.892746585998639,-1.03525652259395,-0.517557046907539
"Camera 10","secondary",-0.181271392237603,-0.135487282232572,-0.341815623414146,0.00685849657243077,-1.03416813347924,-0.867060089956263,-0.329131869943252,-0.331113761226758,-0.333035911709186,-0.329634316993044,0.289522934172346,0.289522934172346,0.289522934172346,0.312829751672693,0.0439206974515302,-0.0662113747792802,-0.71150569098539,-0.101731776406598,-0.398211340264643,-0.313247839856111,-0.437643613107487,0.557498196445325,-0.282146873173196,-0.168516920355881,-0.966581702742915,0.92634251850972,-0.722787341366119,-1.13462217673357,-1.11536947369959,0.418956603201647,-0.725879734390693,-0.517557046907539
"Camera 11","primary",-0.181271392237603,-0.433999395811547,-0.781437062817757,1.70417855808451,-0.514068333307895,0.155335413588709,-0.329131869943252,-0.331113761226758,-0.333035911709186,0.118346789597149,0.289522934172346,0.289522934172346,0.289522934172346,0.0347588612969658,-0.576136207746542,-0.473665988805619,-0.475795625326026,-0.101731776406598,0.124033040410299,-0.313247839856111,-0.437643613107487,-0.401776015964182,-0.88400895849821,-0.13322541871067,-0.943065739940848,0.128018478675079,-0.553632792584755,0.516341732771334,-0.552227368282114,0.0282365042909232,-0.62275413832294,-0.245158601166729
"Camera 12","secondary",-0.181271392237603,-0.664575567787172,1.84477057505908,0.951718169224738,0.949484174503765,1.48251845384076,-0.3647894143751,-0.367549938528189,-0.370231785374352,-0.403275046843487,1.50856686752959,1.50856686752959,1.50856686752959,1.4251133131756,-0.576136207746542,-0.779256949325374,-0.71150569098539,-0.444407233776191,-0.398211340264643,-0.313247839856111,-0.437643613107487,-0.401776015964182,-0.995464900225064,-0.980221458195727,-0.684390149118115,-1.3157590401748,-0.215323695022025,-0.270359190549797,-0.439598947198619,0.18173368600585,-0.519628542255187,-0.517557046907539
"Camera 13","secondary",0.28902333964868,-0.780196328821974,-0.252613480933505,-0.556405389690703,0.970225673073671,-0.418650329344834,-0.3647894143751,-0.367549938528189,-0.370231785374352,-0.403275046843487,0.89904490085097,0.89904490085097,0.89904490085097,0.868971532424146,-0.576136207746542,-0.728325122572082,-0.672220680042163,-0.410139688039231,-0.398211340264643,-0.313247839856111,-0.437643613107487,-0.401776015964182,-0.215273308137084,-0.274391425291513,0.914695321422413,-0.874132975585427,0.122985402540704,0.660385563801963,-0.18055357870658,0.153825107512227,-0.00400056191642154,0.027239844574081
"Camera 14","primary",-0.181271392237603,-0.720526616164965,0.76683802559613,0.366704069428165,0.790415274101893,-0.843640800796275,0.135689691400478,0.14385783573833,0.151838869997447,-0.403275046843487,-0.319999032506277,-0.319999032506277,-0.319999032506277,-0.243312029078761,-0.47279339021353,-0.779256949325374,-0.436510614382799,0.206676135226036,3.51862151479742,-0.313247839856111,-0.437643613107487,-0.401776015964182,-0.817135393462097,-0.768472448324463,0.550197897990381,-0.364564439520763,1.28827229414566,0.0288087662061258,2.26348315880526,0.502682338682516,1.43975778303212,-0.517557046907539
"Camera 15","primary",-0.181271392237603,-0.686645043524723,-0.201137220353901,1.38838532191299,-0.303483186714321,-0.550772361824366,-0.3647894143751,-0.367549938528189,-0.370231785374352,-0.403275046843487,0.89904490085097,0.89904490085097,0.89904490085097,1.14704242279987,0.147263514984542,-0.524597815558912,-0.593650658155708,-0.410139688039231,0.646277421085241,-0.313247839856111,-0.437643613107487,0.557498196445325,-0.63880588669913,-0.592014940098409,-0.637358223513982,0.195960950150368,0.122985402540704,0.00664817681679826,-0.270656315573376,-0.348529305372989,-1.03525652259395,-0.245158601166729
"Camera 16","primary",-0.181271392237603,-0.724808024539189,-1.01122613421433,-0.299739191399281,0.405709461572024,0.245532915636454,-0.3647894143751,-0.367549938528189,-0.370231785374352,-0.403275046843487,0.594283917511658,0.594283917511658,0.594283917511658,0.590900642048419,-0.576136207746542,0.850561506779983,0.270619582595293,-0.444407233776191,1.69076618243512,-0.313247839856111,-0.437643613107487,-0.0820179451610128,1.14448918093054,1.79016142095331,1.59665824268234,0.382802746707411,-0.140143895563641,0.959553520557886,0.69794810574468,0.335230867720777,0.408501822354591,-0.245158601166729
"Camera 17","secondary",-0.181271392237603,-0.768141989157132,-0.824898066741072,-0.283833337983521,0.493747017480655,1.45548101299575,-0.3647894143751,-0.367549938528189,-0.370231785374352,-0.403275046843487,2.42284981754753,2.42284981754753,2.42284981754753,2.53739687467851,0.0439206974515302,1.4108116010662,2.62772023918893,0.138141043752117,0.124033040410299,-0.313247839856111,-0.437643613107487,-0.401776015964182,0.119094517043479,-0.574369189275804,-0.0494591534623173,-0.0758089357507866,0.23575510172828,-0.613848326084375,0.202383052977303,0.432910892448458,0.202250630219084,0.027239844574081
"Camera 18","secondary",-0.181271392237603,-0.732698334442745,0.924360362416664,-0.453574936896195,0.115703393899772,0.207862665607293,-0.3647894143751,-0.367549938528189,-0.370231785374352,0.0839811156669424,0.289522934172346,0.289522934172346,0.289522934172346,0.0347588612969658,-0.576136207746542,-0.779256949325374,-0.71150569098539,-0.444407233776191,-0.398211340264643,-0.313247839856111,-0.113463158953793,-0.401776015964182,-0.973173711879693,-0.768472448324463,-0.660874186316049,-1.17987409722423,0.273345001457473,0.0731299449847812,-0.529701684065415,-0.767157982777335,-0.932130926526199,-0.517557046907539
